image_path,label,label_name
data\numerals\n_0\020_08.jpg,0,n_0
data\numerals\n_0\020_09.jpg,0,n_0
data\numerals\n_0\020_10.jpg,0,n_0
data\numerals\n_0\021_01.jpg,0,n_0
data\numerals\n_0\021_02.jpg,0,n_0
data\numerals\n_0\021_03.jpg,0,n_0
data\numerals\n_0\021_04.jpg,0,n_0
data\numerals\n_0\021_05.jpg,0,n_0
data\numerals\n_0\021_06.jpg,0,n_0
data\numerals\n_0\021_07.jpg,0,n_0
data\numerals\n_0\021_08.jpg,0,n_0
data\numerals\n_0\021_09.jpg,0,n_0
data\numerals\n_0\021_10.jpg,0,n_0
data\numerals\n_0\022_01.jpg,0,n_0
data\numerals\n_0\022_02.jpg,0,n_0
data\numerals\n_0\022_03.jpg,0,n_0
data\numerals\n_0\022_04.jpg,0,n_0
data\numerals\n_0\022_05.jpg,0,n_0
data\numerals\n_0\022_06.jpg,0,n_0
data\numerals\n_0\022_07.jpg,0,n_0
data\numerals\n_0\022_08.jpg,0,n_0
data\numerals\n_0\023_01.jpg,0,n_0
data\numerals\n_0\023_02.jpg,0,n_0
data\numerals\n_0\024_01.jpg,0,n_0
data\numerals\n_0\024_02.jpg,0,n_0
data\numerals\n_0\025_01.jpg,0,n_0
data\numerals\n_0\025_02.jpg,0,n_0
data\numerals\n_0\025_03.jpg,0,n_0
data\numerals\n_0\025_04.jpg,0,n_0
data\numerals\n_0\025_05.jpg,0,n_0
data\numerals\n_0\025_06.jpg,0,n_0
data\numerals\n_0\027_01.jpg,0,n_0
data\numerals\n_0\027_02.jpg,0,n_0
data\numerals\n_0\027_03.jpg,0,n_0
data\numerals\n_0\028_01.jpg,0,n_0
data\numerals\n_0\028_02.jpg,0,n_0
data\numerals\n_0\028_03.jpg,0,n_0
data\numerals\n_0\028_04.jpg,0,n_0
data\numerals\n_0\028_05.jpg,0,n_0
data\numerals\n_0\029_01.jpg,0,n_0
data\numerals\n_0\030_01.jpg,0,n_0
data\numerals\n_0\030_02.jpg,0,n_0
data\numerals\n_0\030_03.jpg,0,n_0
data\numerals\n_0\030_04.jpg,0,n_0
data\numerals\n_0\032_01.jpg,0,n_0
data\numerals\n_0\032_02.jpg,0,n_0
data\numerals\n_0\033_01.jpg,0,n_0
data\numerals\n_0\033_02.jpg,0,n_0
data\numerals\n_0\034_01.jpg,0,n_0
data\numerals\n_0\034_02.jpg,0,n_0
data\numerals\n_0\035_01.jpg,0,n_0
data\numerals\n_0\035_02.jpg,0,n_0
data\numerals\n_0\036_01.jpg,0,n_0
data\numerals\n_0\036_02.jpg,0,n_0
data\numerals\n_0\037_01.jpg,0,n_0
data\numerals\n_0\037_02.jpg,0,n_0
data\numerals\n_0\038_01.jpg,0,n_0
data\numerals\n_0\038_02.jpg,0,n_0
data\numerals\n_0\039_01.jpg,0,n_0
data\numerals\n_0\039_02.jpg,0,n_0
data\numerals\n_0\039_03.jpg,0,n_0
data\numerals\n_0\039_04.jpg,0,n_0
data\numerals\n_0\039_05.jpg,0,n_0
data\numerals\n_0\040_01.jpg,0,n_0
data\numerals\n_0\040_02.jpg,0,n_0
data\numerals\n_0\041_01.jpg,0,n_0
data\numerals\n_0\041_02.jpg,0,n_0
data\numerals\n_0\042_01.jpg,0,n_0
data\numerals\n_0\042_02.jpg,0,n_0
data\numerals\n_0\043_01.jpg,0,n_0
data\numerals\n_0\043_02.jpg,0,n_0
data\numerals\n_0\044_01.jpg,0,n_0
data\numerals\n_0\044_02.jpg,0,n_0
data\numerals\n_0\045_01.jpg,0,n_0
data\numerals\n_0\045_02.jpg,0,n_0
data\numerals\n_0\046_01.jpg,0,n_0
data\numerals\n_0\046_02.jpg,0,n_0
data\numerals\n_0\103265.png,0,n_0
data\numerals\n_0\103266.png,0,n_0
data\numerals\n_0\103267.png,0,n_0
data\numerals\n_0\103268.png,0,n_0
data\numerals\n_0\103269.png,0,n_0
data\numerals\n_0\103270.png,0,n_0
data\numerals\n_0\103271.png,0,n_0
data\numerals\n_0\103272.png,0,n_0
data\numerals\n_0\103273.png,0,n_0
data\numerals\n_0\103274.png,0,n_0
data\numerals\n_0\103275.png,0,n_0
data\numerals\n_0\103276.png,0,n_0
data\numerals\n_0\103277.png,0,n_0
data\numerals\n_0\103279.png,0,n_0
data\numerals\n_0\103280.png,0,n_0
data\numerals\n_0\103281.png,0,n_0
data\numerals\n_0\103282.png,0,n_0
data\numerals\n_0\103283.png,0,n_0
data\numerals\n_0\103284.png,0,n_0
data\numerals\n_0\103305.png,0,n_0
data\numerals\n_0\103306.png,0,n_0
data\numerals\n_0\103307.png,0,n_0
data\numerals\n_0\103308.png,0,n_0
data\numerals\n_0\103309.png,0,n_0
data\numerals\n_0\103310.png,0,n_0
data\numerals\n_0\103311.png,0,n_0
data\numerals\n_0\103312.png,0,n_0
data\numerals\n_0\103313.png,0,n_0
data\numerals\n_0\103314.png,0,n_0
data\numerals\n_0\103315.png,0,n_0
data\numerals\n_0\103316.png,0,n_0
data\numerals\n_0\103317.png,0,n_0
data\numerals\n_0\103318.png,0,n_0
data\numerals\n_0\103319.png,0,n_0
data\numerals\n_0\103320.png,0,n_0
data\numerals\n_0\103321.png,0,n_0
data\numerals\n_0\103322.png,0,n_0
data\numerals\n_0\103323.png,0,n_0
data\numerals\n_0\103324.png,0,n_0
data\numerals\n_0\103325.png,0,n_0
data\numerals\n_0\103326.png,0,n_0
data\numerals\n_0\103327.png,0,n_0
data\numerals\n_0\103328.png,0,n_0
data\numerals\n_0\103329.png,0,n_0
data\numerals\n_0\103330.png,0,n_0
data\numerals\n_0\103331.png,0,n_0
data\numerals\n_0\103332.png,0,n_0
data\numerals\n_0\103333.png,0,n_0
data\numerals\n_0\103334.png,0,n_0
data\numerals\n_0\103335.png,0,n_0
data\numerals\n_0\103336.png,0,n_0
data\numerals\n_0\103337.png,0,n_0
data\numerals\n_0\103338.png,0,n_0
data\numerals\n_0\103339.png,0,n_0
data\numerals\n_0\103340.png,0,n_0
data\numerals\n_0\103341.png,0,n_0
data\numerals\n_0\103342.png,0,n_0
data\numerals\n_0\103343.png,0,n_0
data\numerals\n_0\103344.png,0,n_0
data\numerals\n_0\103345.png,0,n_0
data\numerals\n_0\103346.png,0,n_0
data\numerals\n_0\103347.png,0,n_0
data\numerals\n_0\103348.png,0,n_0
data\numerals\n_0\103349.png,0,n_0
data\numerals\n_0\103350.png,0,n_0
data\numerals\n_0\103351.png,0,n_0
data\numerals\n_0\103352.png,0,n_0
data\numerals\n_0\103353.png,0,n_0
data\numerals\n_0\103354.png,0,n_0
data\numerals\n_0\103355.png,0,n_0
data\numerals\n_0\103356.png,0,n_0
data\numerals\n_0\103357.png,0,n_0
data\numerals\n_0\103358.png,0,n_0
data\numerals\n_0\103359.png,0,n_0
data\numerals\n_0\103360.png,0,n_0
data\numerals\n_0\103361.png,0,n_0
data\numerals\n_0\103362.png,0,n_0
data\numerals\n_0\103363.png,0,n_0
data\numerals\n_0\103364.png,0,n_0
data\numerals\n_0\103365.png,0,n_0
data\numerals\n_0\103366.png,0,n_0
data\numerals\n_0\103367.png,0,n_0
data\numerals\n_0\103368.png,0,n_0
data\numerals\n_0\103369.png,0,n_0
data\numerals\n_0\103370.png,0,n_0
data\numerals\n_0\103371.png,0,n_0
data\numerals\n_0\103372.png,0,n_0
data\numerals\n_0\103373.png,0,n_0
data\numerals\n_0\103374.png,0,n_0
data\numerals\n_0\103375.png,0,n_0
data\numerals\n_0\103376.png,0,n_0
data\numerals\n_0\103377.png,0,n_0
data\numerals\n_0\103378.png,0,n_0
data\numerals\n_0\103379.png,0,n_0
data\numerals\n_0\103380.png,0,n_0
data\numerals\n_0\103381.png,0,n_0
data\numerals\n_0\103382.png,0,n_0
data\numerals\n_0\103383.png,0,n_0
data\numerals\n_0\103384.png,0,n_0
data\numerals\n_0\103385.png,0,n_0
data\numerals\n_0\103386.png,0,n_0
data\numerals\n_0\103387.png,0,n_0
data\numerals\n_0\103388.png,0,n_0
data\numerals\n_0\103389.png,0,n_0
data\numerals\n_0\103390.png,0,n_0
data\numerals\n_0\103391.png,0,n_0
data\numerals\n_0\103392.png,0,n_0
data\numerals\n_0\103393.png,0,n_0
data\numerals\n_0\103394.png,0,n_0
data\numerals\n_0\103395.png,0,n_0
data\numerals\n_0\103396.png,0,n_0
data\numerals\n_0\103397.png,0,n_0
data\numerals\n_0\103398.png,0,n_0
data\numerals\n_0\103399.png,0,n_0
data\numerals\n_0\103400.png,0,n_0
data\numerals\n_0\103401.png,0,n_0
data\numerals\n_0\103402.png,0,n_0
data\numerals\n_0\103403.png,0,n_0
data\numerals\n_0\103404.png,0,n_0
data\numerals\n_0\103405.png,0,n_0
data\numerals\n_0\103406.png,0,n_0
data\numerals\n_0\103407.png,0,n_0
data\numerals\n_0\103408.png,0,n_0
data\numerals\n_0\103409.png,0,n_0
data\numerals\n_0\103410.png,0,n_0
data\numerals\n_0\103411.png,0,n_0
data\numerals\n_0\103412.png,0,n_0
data\numerals\n_0\103413.png,0,n_0
data\numerals\n_0\103414.png,0,n_0
data\numerals\n_0\103415.png,0,n_0
data\numerals\n_0\103416.png,0,n_0
data\numerals\n_0\103417.png,0,n_0
data\numerals\n_0\103418.png,0,n_0
data\numerals\n_0\103419.png,0,n_0
data\numerals\n_0\103420.png,0,n_0
data\numerals\n_0\103421.png,0,n_0
data\numerals\n_0\103422.png,0,n_0
data\numerals\n_0\103423.png,0,n_0
data\numerals\n_0\103424.png,0,n_0
data\numerals\n_0\103425.png,0,n_0
data\numerals\n_0\103426.png,0,n_0
data\numerals\n_0\103427.png,0,n_0
data\numerals\n_0\103428.png,0,n_0
data\numerals\n_0\103429.png,0,n_0
data\numerals\n_0\103430.png,0,n_0
data\numerals\n_0\103431.png,0,n_0
data\numerals\n_0\103432.png,0,n_0
data\numerals\n_0\103433.png,0,n_0
data\numerals\n_0\103434.png,0,n_0
data\numerals\n_0\103435.png,0,n_0
data\numerals\n_0\103436.png,0,n_0
data\numerals\n_0\103437.png,0,n_0
data\numerals\n_0\103438.png,0,n_0
data\numerals\n_0\103439.png,0,n_0
data\numerals\n_0\103440.png,0,n_0
data\numerals\n_0\103441.png,0,n_0
data\numerals\n_0\103442.png,0,n_0
data\numerals\n_0\12272.png,0,n_0
data\numerals\n_0\12273.png,0,n_0
data\numerals\n_0\12274.png,0,n_0
data\numerals\n_0\12275.png,0,n_0
data\numerals\n_0\12276.png,0,n_0
data\numerals\n_0\12277.png,0,n_0
data\numerals\n_0\12278.png,0,n_0
data\numerals\n_0\12279.png,0,n_0
data\numerals\n_0\12280.png,0,n_0
data\numerals\n_0\12281.png,0,n_0
data\numerals\n_0\12282.png,0,n_0
data\numerals\n_0\12283.png,0,n_0
data\numerals\n_0\12284.png,0,n_0
data\numerals\n_0\12285.png,0,n_0
data\numerals\n_0\12286.png,0,n_0
data\numerals\n_0\12287.png,0,n_0
data\numerals\n_0\12288.png,0,n_0
data\numerals\n_0\12289.png,0,n_0
data\numerals\n_0\12290.png,0,n_0
data\numerals\n_0\12291.png,0,n_0
data\numerals\n_0\12292.png,0,n_0
data\numerals\n_0\12293.png,0,n_0
data\numerals\n_0\12295.png,0,n_0
data\numerals\n_0\12296.png,0,n_0
data\numerals\n_0\12297.png,0,n_0
data\numerals\n_0\12298.png,0,n_0
data\numerals\n_0\12299.png,0,n_0
data\numerals\n_0\12300.png,0,n_0
data\numerals\n_0\12301.png,0,n_0
data\numerals\n_0\12302.png,0,n_0
data\numerals\n_0\12303.png,0,n_0
data\numerals\n_0\12304.png,0,n_0
data\numerals\n_0\12305.png,0,n_0
data\numerals\n_0\12306.png,0,n_0
data\numerals\n_0\12307.png,0,n_0
data\numerals\n_0\12308.png,0,n_0
data\numerals\n_0\12309.png,0,n_0
data\numerals\n_0\12310.png,0,n_0
data\numerals\n_0\12311.png,0,n_0
data\numerals\n_0\12312.png,0,n_0
data\numerals\n_0\12313.png,0,n_0
data\numerals\n_0\12314.png,0,n_0
data\numerals\n_0\12315.png,0,n_0
data\numerals\n_0\12316.png,0,n_0
data\numerals\n_0\12317.png,0,n_0
data\numerals\n_0\12318.png,0,n_0
data\numerals\n_0\12319.png,0,n_0
data\numerals\n_0\12320.png,0,n_0
data\numerals\n_0\12321.png,0,n_0
data\numerals\n_0\12322.png,0,n_0
data\numerals\n_0\12323.png,0,n_0
data\numerals\n_0\12324.png,0,n_0
data\numerals\n_0\12325.png,0,n_0
data\numerals\n_0\12326.png,0,n_0
data\numerals\n_0\12327.png,0,n_0
data\numerals\n_0\12328.png,0,n_0
data\numerals\n_0\12329.png,0,n_0
data\numerals\n_0\12330.png,0,n_0
data\numerals\n_0\12331.png,0,n_0
data\numerals\n_0\12332.png,0,n_0
data\numerals\n_0\12333.png,0,n_0
data\numerals\n_0\12334.png,0,n_0
data\numerals\n_0\12335.png,0,n_0
data\numerals\n_0\12336.png,0,n_0
data\numerals\n_0\12337.png,0,n_0
data\numerals\n_0\12338.png,0,n_0
data\numerals\n_0\12339.png,0,n_0
data\numerals\n_0\12340.png,0,n_0
data\numerals\n_0\12341.png,0,n_0
data\numerals\n_0\12342.png,0,n_0
data\numerals\n_0\12343.png,0,n_0
data\numerals\n_0\12344.png,0,n_0
data\numerals\n_0\12345.png,0,n_0
data\numerals\n_0\12346.png,0,n_0
data\numerals\n_0\12347.png,0,n_0
data\numerals\n_0\12348.png,0,n_0
data\numerals\n_0\12349.png,0,n_0
data\numerals\n_0\12350.png,0,n_0
data\numerals\n_0\12351.png,0,n_0
data\numerals\n_0\12352.png,0,n_0
data\numerals\n_0\12353.png,0,n_0
data\numerals\n_0\12354.png,0,n_0
data\numerals\n_0\12355.png,0,n_0
data\numerals\n_0\12356.png,0,n_0
data\numerals\n_0\12357.png,0,n_0
data\numerals\n_0\12358.png,0,n_0
data\numerals\n_0\12359.png,0,n_0
data\numerals\n_0\12360.png,0,n_0
data\numerals\n_0\12361.png,0,n_0
data\numerals\n_0\12362.png,0,n_0
data\numerals\n_0\12363.png,0,n_0
data\numerals\n_0\12364.png,0,n_0
data\numerals\n_0\12365.png,0,n_0
data\numerals\n_0\12366.png,0,n_0
data\numerals\n_0\12367.png,0,n_0
data\numerals\n_0\12368.png,0,n_0
data\numerals\n_0\12369.png,0,n_0
data\numerals\n_0\12370.png,0,n_0
data\numerals\n_0\12371.png,0,n_0
data\numerals\n_0\12372.png,0,n_0
data\numerals\n_0\12373.png,0,n_0
data\numerals\n_0\12374.png,0,n_0
data\numerals\n_0\12375.png,0,n_0
data\numerals\n_0\12376.png,0,n_0
data\numerals\n_0\12377.png,0,n_0
data\numerals\n_0\12378.png,0,n_0
data\numerals\n_0\12379.png,0,n_0
data\numerals\n_0\12380.png,0,n_0
data\numerals\n_0\12381.png,0,n_0
data\numerals\n_0\12382.png,0,n_0
data\numerals\n_0\12383.png,0,n_0
data\numerals\n_0\12384.png,0,n_0
data\numerals\n_0\12385.png,0,n_0
data\numerals\n_0\12386.png,0,n_0
data\numerals\n_0\12387.png,0,n_0
data\numerals\n_0\12388.png,0,n_0
data\numerals\n_0\12389.png,0,n_0
data\numerals\n_0\12390.png,0,n_0
data\numerals\n_0\12391.png,0,n_0
data\numerals\n_0\12392.png,0,n_0
data\numerals\n_0\12393.png,0,n_0
data\numerals\n_0\12394.png,0,n_0
data\numerals\n_0\12395.png,0,n_0
data\numerals\n_0\12396.png,0,n_0
data\numerals\n_0\13424.png,0,n_0
data\numerals\n_0\13425.png,0,n_0
data\numerals\n_0\13426.png,0,n_0
data\numerals\n_0\13427.png,0,n_0
data\numerals\n_0\13428.png,0,n_0
data\numerals\n_0\13429.png,0,n_0
data\numerals\n_0\13430.png,0,n_0
data\numerals\n_0\13431.png,0,n_0
data\numerals\n_0\13432.png,0,n_0
data\numerals\n_0\13433.png,0,n_0
data\numerals\n_0\13434.png,0,n_0
data\numerals\n_0\13435.png,0,n_0
data\numerals\n_0\13436.png,0,n_0
data\numerals\n_0\13437.png,0,n_0
data\numerals\n_0\13438.png,0,n_0
data\numerals\n_0\13439.png,0,n_0
data\numerals\n_0\13440.png,0,n_0
data\numerals\n_0\13441.png,0,n_0
data\numerals\n_0\13442.png,0,n_0
data\numerals\n_0\13443.png,0,n_0
data\numerals\n_0\13444.png,0,n_0
data\numerals\n_0\18491.png,0,n_0
data\numerals\n_0\18492.png,0,n_0
data\numerals\n_0\18493.png,0,n_0
data\numerals\n_0\18494.png,0,n_0
data\numerals\n_0\18496.png,0,n_0
data\numerals\n_0\18497.png,0,n_0
data\numerals\n_0\18498.png,0,n_0
data\numerals\n_0\18500.png,0,n_0
data\numerals\n_0\18501.png,0,n_0
data\numerals\n_0\18502.png,0,n_0
data\numerals\n_0\18503.png,0,n_0
data\numerals\n_0\18504.png,0,n_0
data\numerals\n_0\18505.png,0,n_0
data\numerals\n_0\18506.png,0,n_0
data\numerals\n_0\18507.png,0,n_0
data\numerals\n_0\18508.png,0,n_0
data\numerals\n_0\18509.png,0,n_0
data\numerals\n_0\18510.png,0,n_0
data\numerals\n_0\18511.png,0,n_0
data\numerals\n_0\18512.png,0,n_0
data\numerals\n_0\18513.png,0,n_0
data\numerals\n_0\18514.png,0,n_0
data\numerals\n_0\18515.png,0,n_0
data\numerals\n_0\18516.png,0,n_0
data\numerals\n_0\18517.png,0,n_0
data\numerals\n_0\18518.png,0,n_0
data\numerals\n_0\18519.png,0,n_0
data\numerals\n_0\18520.png,0,n_0
data\numerals\n_0\18521.png,0,n_0
data\numerals\n_0\18522.png,0,n_0
data\numerals\n_0\18523.png,0,n_0
data\numerals\n_0\18524.png,0,n_0
data\numerals\n_0\18525.png,0,n_0
data\numerals\n_0\18526.png,0,n_0
